trans_id,lang,translation
"Tuusulan kunta, vari",fi,"Tuusulan kunta, vari"
"Huovitie",sv,"Knektvägen"
"Tapiola (M)-Suurpelto-Espoon keskus-Kauklahti",fi,"Tapiola (M)-Suurpelto-Espoon keskus-Kauklahti"
"Tikkurila - Aviapolis - Seutula -  Kivistö",fi,"Tikkurila - Aviapolis - Seutula -  Kivistö"
"Ansaritie",fi,"Ansaritie"
"Talmantie",fi,"Talmantie"
"Metsätorpantie 7",sv,"Skogstorpsvägen 7"
"Jollaksen Aukio",fi,"Jollaksen Aukio"
"Itäkeskuksen metroasema",fi,"Itäkeskuksen metroasema"
"Kamppi - Keimola - Luhtaanmäki (- Klaukkala)",fi,"Kamppi - Keimola - Luhtaanmäki (- Klaukkala)"
"Söderkulla - Kalkkiranta",fi,"Söderkulla - Kalkkiranta"
"Porolahden koulu",sv,"Porovikens skola"
"Kalasääksenkatu",sv,"Fiskgjusgatan"
"Ruorimiehentie 17",fi,"Ruorimiehentie 17"
"Angervotie 12",fi,"Angervotie 12"
"Kuusitie 8",fi,"Kuusitie 8"
"Ulappasaarentie 10",sv,"Fjärdholmsvägen 10"
"Keskiyöntie 17",sv,"Midnattsvägen 17"
"Töölön halli - Meilahti - Munkkiniemi",fi,"Töölön halli - Meilahti - Munkkiniemi"
"Urheilutalo-Olympiat",fi,"Urheilutalo-Olympiat"
"Pelimannintie",fi,"Pelimannintie"
"Kirkonkylänpolku",fi,"Kirkonkylänpolku"
"Kasarmikatu",sv,"Kaserngatan"
"Jönsaksentie",sv,"Jönsasvägen"
"Kurk",fi,"Kurk"
"Erkkola",fi,"Erkkola"
"Nummelantie",sv,"Nummelantie"
"Fredrikinkatu 55",fi,"Fredrikinkatu 55"
"Penttiläntie",sv,"Bengtsvägen"
"Drusibackantie",sv,"Drusibackavägen"
"Mikkolantie",fi,"Mikkolantie"
"Itäkeskus-Tapaninkyl",sv,"Östra centrum-Staffa"
"Honkakallionkuja",sv,"Furuberggränden"
"Jönsaksentie 6",sv,"Jönsasvägen 6"
"Paijalantie 288",sv,"Paijalantie 288"
"Laituri 26",fi,"Laituri 26"
"Lähderannantie",fi,"Lähderannantie"
"Neidonkuja",fi,"Neidonkuja"
"Leinelä-Rekolanmäki",fi,"Leinelä-Rekolanmäki"
"Pohjois-Haaga-Munkkivuori",sv,"Norra Haga-Munkshöjden"
"Asentajankatu 6",fi,"Asentajankatu 6"
"Rtori1-Paloheinä",sv,"Jvtorg1-Svedängen"
