stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,vehicle_type
2714252,E7140,"Suopuronrinne","Suopurontie",60.286370,24.737720,02,http://aikataulut.hsl.fi/pysakit/fi/2714252.html,0, ,0,,3
2714253,E7141,"Suopuronrinne","Suopurontie",60.286180,24.736940,02,http://aikataulut.hsl.fi/pysakit/fi/2714253.html,0, ,0,,3
2714254,E7142,"Kalliomäentie","Perusmäen puistotie",60.285940,24.730750,02,http://aikataulut.hsl.fi/pysakit/fi/2714254.html,0, ,0,,3
2714255,E7143,"Perusmäki","Perusmäen puistotie",60.286994,24.725706,02,http://aikataulut.hsl.fi/pysakit/fi/2714255.html,0, ,0,,3
2714278,E7144,"Gobbacka","Röyläntie",60.277830,24.713340,02,http://aikataulut.hsl.fi/pysakit/fi/2714278.html,0, ,0,,3
2714279,E7145,"Gobbacka","Röyläntie",60.277500,24.714190,02,http://aikataulut.hsl.fi/pysakit/fi/2714279.html,0, ,0,,3
2714286,E7146,"Latapelto","Röyläntie",60.281030,24.710650,02,http://aikataulut.hsl.fi/pysakit/fi/2714286.html,0, ,0,,3
2714287,E7147,"Latapelto","Röyläntie",60.280690,24.711090,02,http://aikataulut.hsl.fi/pysakit/fi/2714287.html,0, ,0,,3
2714288,E7148,"Maarinpuro","Röyläntie",60.275590,24.714670,02,http://aikataulut.hsl.fi/pysakit/fi/2714288.html,0, ,0,,3
2714295,E7149,"Kallionsyrjä","Niipperintie",60.297160,24.735340,02,http://aikataulut.hsl.fi/pysakit/fi/2714295.html,0, ,0,,3
2714296,E7150,"Kalliomäentie","Perusmäen puistotie",60.285730,24.730920,02,http://aikataulut.hsl.fi/pysakit/fi/2714296.html,0, ,0,,3
2714297,E7151,"Antinmäki","Niipperintie",60.295130,24.738670,02,http://aikataulut.hsl.fi/pysakit/fi/2714297.html,0, ,0,,3
2714298,E7152,"Punametsä","Punametsä",60.285680,24.707230,02,http://aikataulut.hsl.fi/pysakit/fi/2714298.html,0, ,0,,3
2714299,E7153,"Perusmäki","Perusmäen puistotie",60.287706,24.722557,02,http://aikataulut.hsl.fi/pysakit/fi/2714299.html,0, ,0,,3
2715201,E7190,"Juvanmalmintie","Juvanmalmintie",60.282293,24.762207,02,http://aikataulut.hsl.fi/pysakit/fi/2715201.html,0, ,0,,3
2715210,E7154,"Nikunmäentie","Juvankartanontie",60.266550,24.745740,02,http://aikataulut.hsl.fi/pysakit/fi/2715210.html,0, ,0,,3
2715213,E7157,"Juvankartano","Niipperintie",60.270870,24.753110,02,http://aikataulut.hsl.fi/pysakit/fi/2715213.html,0, ,0,,3
2715214,E7158,"Juvanpuisto","Niipperintie",60.273230,24.750520,02,http://aikataulut.hsl.fi/pysakit/fi/2715214.html,0, ,0,,3
2715215,E7175,"Juvanpuisto","Niipperintie",60.273980,24.749530,02,http://aikataulut.hsl.fi/pysakit/fi/2715215.html,0, ,0,,3
2715229,E7159,"Juvanmalminpuisto","Juvan teollisuuskatu",60.271640,24.760110,02,http://aikataulut.hsl.fi/pysakit/fi/2715229.html,0, ,0,,3
2715230,E7160,"Juvanmalminpuisto","Juvan teollisuuskatu",60.269540,24.759450,02,http://aikataulut.hsl.fi/pysakit/fi/2715230.html,0, ,0,,3
2715231,E7161,"Pieni teollisuuskatu","Juvan teollisuuskatu",60.274300,24.760710,02,http://aikataulut.hsl.fi/pysakit/fi/2715231.html,0, ,0,,3
2715232,E7162,"Pieni teollisuuskatu","Juvan teollisuuskatu",60.275000,24.761070,02,http://aikataulut.hsl.fi/pysakit/fi/2715232.html,0, ,0,,3
2715233,E7163,"Juvan teollisuuskatu","Juvan teollisuuskatu",60.278000,24.761540,02,http://aikataulut.hsl.fi/pysakit/fi/2715233.html,0, ,0,,3
2715234,E7164,"Juvan teollisuuskatu","Juvan teollisuuskatu",60.278400,24.761460,02,http://aikataulut.hsl.fi/pysakit/fi/2715234.html,0, ,0,,3
2715235,E7165,"Läntinen teollisuusk","Juvantie",60.278880,24.757500,02,http://aikataulut.hsl.fi/pysakit/fi/2715235.html,0, ,0,,3
2715236,E7166,"Läntinen teollisuusk","Juvantie",60.278710,24.758940,02,http://aikataulut.hsl.fi/pysakit/fi/2715236.html,0, ,0,,3
2715237,E7167,"Juvantie","Niipperintie",60.279080,24.749780,02,http://aikataulut.hsl.fi/pysakit/fi/2715237.html,0, ,0,,3
2715238,E7168,"Juvantie","Juvantie",60.278230,24.750860,02,http://aikataulut.hsl.fi/pysakit/fi/2715238.html,0, ,0,,3
2715239,E7169,"Juvantie","Niipperintie",60.277870,24.749630,02,http://aikataulut.hsl.fi/pysakit/fi/2715239.html,0, ,0,,3
2715240,E7170,"Niipperin koulu","Niipperintie",60.283460,24.745890,02,http://aikataulut.hsl.fi/pysakit/fi/2715240.html,0, ,0,,3
2715241,E7171,"Niipperin koulu","Niipperintie",60.284850,24.746510,02,http://aikataulut.hsl.fi/pysakit/fi/2715241.html,0, ,0,,3
2715247,E7174,"Juvankartano","Niipperintie",60.270070,24.753980,02,http://aikataulut.hsl.fi/pysakit/fi/2715247.html,0, ,0,,3
